Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-1,Frequent disconnections from remote desktop session,Hardware,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T14:25:09.000000,2025-01-01T22:25:09.000000,2025-01-02T16:25:09.000000,0,1,Wednesday,1,8.0,18.0,26.0,0,2025-01
CR-2,Corrupt file detected in document management system,Data,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T07:04:05.000000,2025-01-01T12:04:05.000000,2025-01-01T16:04:05.000000,0,5,Wednesday,1,5.0,4.0,9.0,0,2025-01
CR-3,Local profile corrupted on shared workstation,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-01-01T14:55:00.000000,2025-01-01T22:55:00.000000,2025-01-03T09:55:00.000000,0,2,Wednesday,1,8.0,35.0,43.0,1,2025-01
CR-4,Queue processing stuck in payment application,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-01T07:37:35.000000,2025-01-01T13:37:35.000000,2025-01-02T11:37:35.000000,0,2,Wednesday,1,6.0,22.0,28.0,1,2025-01
CR-5,Shared network drive not accessible,Data,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,Low,2025-01-01T06:08:07.000000,2025-01-01T08:08:07.000000,2025-01-01T14:08:07.000000,0,3,Wednesday,1,2.0,6.0,8.0,0,2025-01
CR-6,Error while uploading documents to intranet portal,Failure,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T20:54:42.000000,2025-01-02T04:54:42.000000,2025-01-02T18:54:42.000000,0,1,Wednesday,1,8.0,14.0,22.0,0,2025-01
CR-7,User’s mailbox not receiving external emails,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-01T06:06:09.000000,2025-01-01T14:06:09.000000,2025-01-03T22:06:09.000000,0,0,Wednesday,1,8.0,56.0,64.0,1,2025-01
CR-8,USB device not recognized on workstation,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-01-01T02:11:03.000000,2025-01-01T10:11:03.000000,2025-01-02T15:11:03.000000,0,2,Wednesday,1,8.0,29.0,37.0,1,2025-01
CR-9,USB device not recognized on workstation,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T14:26:28.000000,2025-01-01T16:26:28.000000,2025-01-03T04:26:28.000000,0,1,Wednesday,1,2.0,36.0,38.0,1,2025-01
CR-10,Unauthorized login attempt alert for admin account,Complaint,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T17:26:45.000000,2025-01-01T22:26:45.000000,2025-01-03T10:26:45.000000,0,1,Wednesday,1,5.0,36.0,41.0,1,2025-01
CR-11,User unable to open encrypted email,Software,Thor,Thor,Avengers,Service A,New,Medium,Medium,Medium,Medium,2025-01-01T10:49:15.000000,,,0,1,Wednesday,1,,,,0,2025-01
CR-12,Frequent password prompts despite valid authentication,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T13:48:36.000000,2025-01-01T16:48:36.000000,2025-01-02T15:48:36.000000,0,3,Wednesday,1,3.0,23.0,26.0,1,2025-01
CR-13,Data export from system failing with error,Hardware,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T21:33:01.000000,2025-01-02T04:33:01.000000,2025-01-02T16:33:01.000000,0,5,Wednesday,1,7.0,12.0,19.0,1,2025-01
CR-14,User not receiving password reset email,Access,Thor,Thor,Avengers,Service C,Closed,High,High,Medium,High,2025-01-01T02:06:45.000000,2025-01-01T10:06:45.000000,2025-01-01T16:06:45.000000,1,2,Wednesday,0,8.0,6.0,14.0,0,2025-01
CR-15,Incorrect user mapping in identity provider,Data,John Cena,John Cena,Matrix,Service C,Closed,Low,High,High,High,2025-01-01T01:36:02.000000,2025-01-01T07:36:02.000000,2025-01-02T01:36:02.000000,1,2,Wednesday,0,6.0,18.0,24.0,1,2025-01
CR-16,Network printer not visible in device list,Data,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-01-01T18:05:56.000000,2025-01-02T00:05:56.000000,2025-01-02T14:05:56.000000,0,1,Wednesday,1,6.0,14.0,20.0,0,2025-01
CR-17,User account locked after multiple failed login attempts,Data,Thor,Thor,Avengers,Service A,In Progress,Medium,Low,Low,Low,2025-01-01T14:17:15.000000,2025-01-01T17:17:15.000000,,0,0,Wednesday,1,3.0,,,0,2025-01
CR-18,Application response time extremely slow for multiple users,Hardware,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T00:52:38.000000,2025-01-01T03:52:38.000000,2025-01-01T08:52:38.000000,0,4,Wednesday,1,3.0,5.0,8.0,1,2025-01
CR-19,User not receiving password reset email,Facilities,Thor,Thor,Avengers,Service C,On Hold,High,Critical,High,High,2025-01-01T07:50:39.000000,,,0,3,Wednesday,1,,,,0,2025-01
CR-20,Unexpected application log errors after deployment,Data,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,High,2025-01-01T04:57:16.000000,2025-01-01T12:57:16.000000,2025-01-01T18:57:16.000000,0,3,Wednesday,1,8.0,6.0,14.0,0,2025-01
CR-21,Queue processing stuck in payment application,Hardware,Thor,Thor,Avengers,Service C,New,Medium,High,High,High,2025-01-01T23:54:17.000000,,,0,2,Wednesday,1,,,,0,2025-01
CR-22,Corrupt file detected in document management system,Failure,John Cena,John Cena,Matrix,Service B,Closed,High,High,High,Medium,2025-01-01T21:51:17.000000,2025-01-02T03:51:17.000000,2025-01-02T16:51:17.000000,0,3,Wednesday,1,6.0,13.0,19.0,1,2025-01
CR-23,Error 500 returned by internal web application,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-01T15:07:25.000000,2025-01-01T18:07:25.000000,2025-01-04T02:07:25.000000,0,0,Wednesday,1,3.0,56.0,59.0,1,2025-01
CR-24,High CPU usage on database server impacting performance,Network,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Low,Low,Low,2025-01-01T14:23:26.000000,2025-01-01T18:23:26.000000,2025-01-04T11:23:26.000000,0,0,Wednesday,1,4.0,65.0,69.0,1,2025-01
CR-25,External website not reachable from corporate network,Data,John Wick,John Wick,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T17:32:23.000000,2025-01-02T01:32:23.000000,2025-01-03T00:32:23.000000,0,1,Wednesday,1,8.0,23.0,31.0,0,2025-01
CR-26,Antivirus alert triggered on user workstation,Hardware,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T16:46:52.000000,2025-01-01T21:46:52.000000,2025-01-02T03:46:52.000000,0,3,Wednesday,1,5.0,6.0,11.0,1,2025-01
CR-27,Incorrect permissions on shared folder causing access denied,Hardware,Captain America,Captain America,Avengers,Service A,In Progress,Medium,Critical,High,High,2025-01-01T17:33:11.000000,2025-01-01T19:33:11.000000,,0,3,Wednesday,1,2.0,,,0,2025-01
